ANO MES INTERNAÇÃO ;NUMERO INTERNAÇOES
jan/15;105
fev/15;107
mar/15;219
abr/15;290
mai/15;304
jun/15;237
jul/15;188
ago/15;184
set/15;156
out/15;178
nov/15;143
dez/15;102
jan/16;85
fev/16;78
mar/16;147
abr/16;354
mai/16;266
jun/16;270
jul/16;224
ago/16;140
set/16;153
out/16;146
nov/16;86
dez/16;85
jan/17;85
fev/17;86
mar/17;170
abr/17;204
mai/17;228
jun/17;202
jul/17;134
ago/17;104
set/17;102
out/17;107
nov/17;99
dez/17;82
jan/18;78
fev/18;63
mar/18;129
abr/18;185
mai/18;219
jun/18;275
jul/18;230
ago/18;140
set/18;107
out/18;117
nov/18;119
dez/18;95
jan/19;94
fev/19;118
mar/19;261
abr/19;275
mai/19;290
jun/19;224
jul/19;146
ago/19;88
set/19;115
out/19;108
nov/19;104
dez/19;74
jan/20;68
fev/20;74
mar/20;141
abr/20;90
mai/20;70
jun/20;43
jul/20;55
ago/20;64
set/20;44
out/20;40
nov/20;41
dez/20;37
